"latestdataforgrade","schoolyearstart","schoolyearend","locationabbr","topic","grade","indicator","datasource","data_value_unit","data_value_type","data_value","data_value_footnote_symbol","data_value_footnote","low_confidence_interval","high_confidence_interval","confidence_interval_footnote_symbol","confidence_interval_footnote","sample_size","response_rate","response_rate_footnote_symbol","response_rate_footnote","adjusted_for_nonresponse","percent_eligible_for_the_nslp_sampleschools","nslp_sampleschools_footnote_symbol","nslp_sampleschools_footnote","percent_eligible_for_the_nslp_samplestudents","nslp_samplestudents_footnote_symbol","nslp_samplestudents_footnote","percent_eligible_for_the_nslp_state","nslp_state_footnote_symbol","nslp_state_footnote","locationdesc","locationid","geolocation","gradeid","sortgradeid","indicatorid"
"Yes","2017","2019","MT","Child","Third Grade","Caries Experience: Percentage of students with caries experience (treated or untreated tooth decay)","State Oral Health Survey","%","Percentage","61.6",,,"56.7","66.4",,,"1842","70",,,"Yes","49",,,,"NC","Not Collected","49",,,"Montana","30","
,  
(47.06652897200047, -109.42442064499971)","3GRADE","05","CHD1_1"
"Yes","2015","2017","NE","Child","Head Start","Caries Experience: Percentage of students with caries experience (treated or untreated tooth decay)","State Oral Health Survey","%","Percentage","46.2",,,"38.4","54.1",,,"748",,"NR","Not Reported","Yes",,"NA","Not Applicable",,"NA","Not Applicable",,"NA","Not Applicable","Nebraska","31","
,  
(41.6410409880005, -99.36572062299967)","HGRADE","01","CHD1_1"
"Yes","2015","2017","NE","Child","Head Start","Untreated Tooth Decay: Percentage of students with untreated tooth decay","State Oral Health Survey","%","Percentage","29.5",,,"21.3","37.6",,,"748",,"NR","Not Reported","Yes",,"NA","Not Applicable",,"NA","Not Applicable",,"NA","Not Applicable","Nebraska","31","
,  
(41.6410409880005, -99.36572062299967)","HGRADE","01","CHD1_3"
"Yes","2015","2017","NE","Child","Third Grade","Untreated Tooth Decay: Percentage of students with untreated tooth decay","State Oral Health Survey","%","Percentage","32.0",,,"28.2","35.8",,,"3087","84",,,"Yes","44",,,,"NC","Not Collected","44",,,"Nebraska","31","
,  
(41.6410409880005, -99.36572062299967)","3GRADE","05","CHD1_3"
"Yes","2015","2017","NE","Child","Third Grade","Dental Sealants: Percentage of students with dental sealants on at least one permanent molar tooth","State Oral Health Survey","%","Percentage","56.2",,,"51.5","61.0",,,"3087","84",,,"Yes","44",,,,"NC","Not Collected","44",,,"Nebraska","31","
,  
(41.6410409880005, -99.36572062299967)","3GRADE","05","CHD1_2"
"Yes","2015","2017","NE","Child","Third Grade","Caries Experience: Percentage of students with caries experience (treated or untreated tooth decay)","State Oral Health Survey","%","Percentage","63.9",,,"59.5","68.3",,,"3087","84",,,"Yes","44",,,,"NC","Not Collected","44",,,"Nebraska","31","
,  
(41.6410409880005, -99.36572062299967)","3GRADE","05","CHD1_1"
"Yes","2011","2012","NV","Child","Head Start","Caries Experience: Percentage of students with caries experience (treated or untreated tooth decay)","State Oral Health Survey","%","Percentage","47.1",,,"43.7","50.5",,,"2257","81",,,"Yes",,"NA","Not Applicable",,"NA","Not Applicable",,"NA","Not Applicable","Nevada","32","
,  
(39.493240390000494, -117.07184056399967)","HGRADE","01","CHD1_1"
"Yes","2011","2012","NV","Child","Head Start","Untreated Tooth Decay: Percentage of students with untreated tooth decay","State Oral Health Survey","%","Percentage","12.3",,,"10.6","14.1",,,"2257","81",,,"Yes",,"NA","Not Applicable",,"NA","Not Applicable",,"NA","Not Applicable","Nevada","32","
,  
(39.493240390000494, -117.07184056399967)","HGRADE","01","CHD1_3"
"Yes","2008","2009","NV","Child","Third Grade","Dental Sealants: Percentage of students with dental sealants on at least one permanent molar tooth","State Oral Health Survey","%","Percentage","37.5",,,"33.1","41.8",,,"1786","41",,,"Yes","41",,,,"NC","Not Collected","40",,,"Nevada","32","
,  
(39.493240390000494, -117.07184056399967)","3GRADE","05","CHD1_2"
"Yes","2008","2009","NV","Child","Third Grade","Caries Experience: Percentage of students with caries experience (treated or untreated tooth decay)","State Oral Health Survey","%","Percentage","64.9",,,"60.8","69.1",,,"1786","41",,,"Yes","41",,,,"NC","Not Collected","40",,,"Nevada","32","
,  
(39.493240390000494, -117.07184056399967)","3GRADE","05","CHD1_1"
"Yes","2008","2009","NV","Child","Third Grade","Untreated Tooth Decay: Percentage of students with untreated tooth decay","State Oral Health Survey","%","Percentage","28.1",,,"24.3","31.8",,,"1786","41",,,"Yes","41",,,,"NC","Not Collected","40",,,"Nevada","32","
,  
(39.493240390000494, -117.07184056399967)","3GRADE","05","CHD1_3"
"Yes","2013","2014","NH","Child","Third Grade","Caries Experience: Percentage of students with caries experience (treated or untreated tooth decay)","State Oral Health Survey","%","Percentage","35.4",,,"31.0","39.7",,,"3199","53",,,"Yes","36",,,,"NC","Not Collected","30",,,"New Hampshire","33","
,  
(43.65595011300047, -71.50036091999965)","3GRADE","05","CHD1_1"
"Yes","2013","2014","NH","Child","Third Grade","Dental Sealants: Percentage of students with dental sealants on at least one permanent molar tooth","State Oral Health Survey","%","Percentage","60.9",,,"57.4","64.4",,,"3199","53",,,"Yes","36",,,,"NC","Not Collected","30",,,"New Hampshire","33","
,  
(43.65595011300047, -71.50036091999965)","3GRADE","05","CHD1_2"
"Yes","2013","2014","NH","Child","Third Grade","Untreated Tooth Decay: Percentage of students with untreated tooth decay","State Oral Health Survey","%","Percentage","8.2",,,"6.7","9.7",,,"3199","53",,,"Yes","36",,,,"NC","Not Collected","30",,,"New Hampshire","33","
,  
(43.65595011300047, -71.50036091999965)","3GRADE","05","CHD1_3"
"Yes","1999","2000","NM","Child","Third Grade","Caries Experience: Percentage of students with caries experience (treated or untreated tooth decay)","State Oral Health Survey","%","Percentage","64.6",,,"59.5","69.7",,,"2136","47",,,"No",,"NR","Not Reported",,"NC","Not Collected",,"NR","Not Reported","New Mexico","35","
,  
(34.52088095200048, -106.24058098499967)","3GRADE","05","CHD1_1"
"Yes","1999","2000","NM","Child","Third Grade","Untreated Tooth Decay: Percentage of students with untreated tooth decay","State Oral Health Survey","%","Percentage","37.0",,,"32.3","41.6",,,"2136","47",,,"No",,"NR","Not Reported",,"NC","Not Collected",,"NR","Not Reported","New Mexico","35","
,  
(34.52088095200048, -106.24058098499967)","3GRADE","05","CHD1_3"
"Yes","1999","2000","NM","Child","Third Grade","Dental Sealants: Percentage of students with dental sealants on at least one permanent molar tooth","State Oral Health Survey","%","Percentage","43.2",,,"34.6","51.8",,,"2136","47",,,"No",,"NR","Not Reported",,"NC","Not Collected",,"NR","Not Reported","New Mexico","35","
,  
(34.52088095200048, -106.24058098499967)","3GRADE","05","CHD1_2"
"Yes","2009","2012","NY","Child","Third Grade","Dental Sealants: Percentage of students with dental sealants on at least one permanent molar tooth","State Oral Health Survey","%","Percentage","40.1",,,"36.8","46.7",,,"6758","36",,,"Yes","44",,,,"NC","Not Collected","52",,,"New York","36","
,  
(42.82700103200045, -75.54397042699964)","3GRADE","05","CHD1_2"
"Yes","2009","2012","NY","Child","Third Grade","Untreated Tooth Decay: Percentage of students with untreated tooth decay","State Oral Health Survey","%","Percentage","22.1",,,"17.8","26.4",,,"6758","36",,,"Yes","44",,,,"NC","Not Collected","52",,,"New York","36","
,  
(42.82700103200045, -75.54397042699964)","3GRADE","05","CHD1_3"
"Yes","2009","2012","NY","Child","Third Grade","Caries Experience: Percentage of students with caries experience (treated or untreated tooth decay)","State Oral Health Survey","%","Percentage","44.1",,,"37.6","50.6",,,"6758","36",,,"Yes","44",,,,"NC","Not Collected","52",,,"New York","36","
,  
(42.82700103200045, -75.54397042699964)","3GRADE","05","CHD1_1"
"Yes","2001","2002","NC","Child","Kindergarten","Caries Experience: Percentage of students with caries experience (treated or untreated tooth decay)","State Oral Health Survey","%","Percentage","39.0",,,,,"NA","Not Applicable","87715","84",,,"No",,"NR","Not Reported",,"NC","Not Collected",,"NR","Not Reported","North Carolina","37","
,  
(35.466220975000454, -79.15925046299964)","KGRADE","02","CHD1_1"
"Yes","2001","2002","NC","Child","Kindergarten","Untreated Tooth Decay: Percentage of students with untreated tooth decay","State Oral Health Survey","%","Percentage","24.0",,,,,"NA","Not Applicable","87715","84",,,"No",,"NR","Not Reported",,"NC","Not Collected",,"NR","Not Reported","North Carolina","37","
,  
(35.466220975000454, -79.15925046299964)","KGRADE","02","CHD1_3"
"Yes","2012","2013","NC","Child","Third Grade","Untreated Tooth Decay: Percentage of students with untreated tooth decay","State Oral Health Survey","%","Percentage","14.3",,,"10.4","18.2",,,"2064","91",,,"Yes","60",,,,"NC","Not Collected","61",,,"North Carolina","37","
,  
(35.466220975000454, -79.15925046299964)","3GRADE","05","CHD1_3"
"Yes","2012","2013","NC","Child","Third Grade","Dental Sealants: Percentage of students with dental sealants on at least one permanent molar tooth","State Oral Health Survey","%","Percentage","45.3",,,"38.8","51.8",,,"2064","91",,,"Yes","60",,,,"NC","Not Collected","61",,,"North Carolina","37","
,  
(35.466220975000454, -79.15925046299964)","3GRADE","05","CHD1_2"
"Yes","2012","2013","NC","Child","Third Grade","Caries Experience: Percentage of students with caries experience (treated or untreated tooth decay)","State Oral Health Survey","%","Percentage","41.9",,,"34.9","48.9",,,"2064","91",,,"Yes","60",,,,"NC","Not Collected","61",,,"North Carolina","37","
,  
(35.466220975000454, -79.15925046299964)","3GRADE","05","CHD1_1"
"Yes","2018","2019","ND","Child","Kindergarten","Untreated Tooth Decay: Percentage of students with untreated tooth decay","State Oral Health Survey","%","Percentage","48.6",,,"45.9","51.3",,,"1998","76",,,"Yes","44",,,,"NC","Not Collected","34",,,"North Dakota","38","
,  
(47.47531977900047, -100.11842104899966)","KGRADE","02","CHD1_3"
"Yes","2018","2019","ND","Child","Kindergarten","Caries Experience: Percentage of students with caries experience (treated or untreated tooth decay)","State Oral Health Survey","%","Percentage","69.7",,,"66.4","73.0",,,"1998","76",,,"Yes","44",,,,"NC","Not Collected","34",,,"North Dakota","38","
,  
(47.47531977900047, -100.11842104899966)","KGRADE","02","CHD1_1"
"Yes","2017","2018","ND","Child","Third Grade","Dental Sealants: Percentage of students with dental sealants on at least one permanent molar tooth","State Oral Health Survey","%","Percentage","47.1",,,"42.8","51.4",,,"2043","83",,,"Yes","36",,,,"NC","Not Collected","36",,,"North Dakota","38","
,  
(47.47531977900047, -100.11842104899966)","3GRADE","05","CHD1_2"
"Yes","2017","2018","ND","Child","Third Grade","Caries Experience: Percentage of students with caries experience (treated or untreated tooth decay)","State Oral Health Survey","%","Percentage","68.4",,,"64.9","71.9",,,"2043","83",,,"Yes","36",,,,"NC","Not Collected","36",,,"North Dakota","38","
,  
(47.47531977900047, -100.11842104899966)","3GRADE","05","CHD1_1"
"Yes","2017","2018","ND","Child","Third Grade","Untreated Tooth Decay: Percentage of students with untreated tooth decay","State Oral Health Survey","%","Percentage","22.6",,,"18.7","26.5",,,"2043","83",,,"Yes","36",,,,"NC","Not Collected","36",,,"North Dakota","38","
,  
(47.47531977900047, -100.11842104899966)","3GRADE","05","CHD1_3"
"Yes","2017","2019","OH","Child","Third Grade","Caries Experience: Percentage of students with caries experience (treated or untreated tooth decay)","State Oral Health Survey","%","Percentage","48.4",,,"44.5","52.2",,,"3257","50",,,"Yes","51",,,"46",,,"53",,,"Ohio","39","
,  
(40.06021014100048, -82.40426005599966)","3GRADE","05","CHD1_1"
"Yes","2017","2019","OH","Child","Third Grade","Untreated Tooth Decay: Percentage of students with untreated tooth decay","State Oral Health Survey","%","Percentage","19.7",,,"16.8","22.7",,,"3257","50",,,"Yes","51",,,"46",,,"53",,,"Ohio","39","
,  
(40.06021014100048, -82.40426005599966)","3GRADE","05","CHD1_3"
"Yes","2017","2019","OH","Child","Third Grade","Dental Sealants: Percentage of students with dental sealants on at least one permanent molar tooth","State Oral Health Survey","%","Percentage","47.5",,,"42.8","52.1",,,"3257","50",,,"Yes","51",,,"46",,,"53",,,"Ohio","39","
,  
(40.06021014100048, -82.40426005599966)","3GRADE","05","CHD1_2"
"Yes","2015","2016","OK","Child","Third Grade","Untreated Tooth Decay: Percentage of students with untreated tooth decay","State Oral Health Survey","%","Percentage","21.7",,,"17.3","26.1",,,"1285","63",,,"No","68",,,,"NC","Not Collected","66",,,"Oklahoma","40","
,  
(35.47203135600046, -97.52107021399968)","3GRADE","05","CHD1_3"
"Yes","2015","2016","OK","Child","Third Grade","Dental Sealants: Percentage of students with dental sealants on at least one permanent molar tooth","State Oral Health Survey","%","Percentage","25.2",,,"19.1","31.2",,,"1285","63",,,"No","68",,,,"NC","Not Collected","66",,,"Oklahoma","40","
,  
(35.47203135600046, -97.52107021399968)","3GRADE","05","CHD1_2"
"Yes","2015","2016","OK","Child","Third Grade","Caries Experience: Percentage of students with caries experience (treated or untreated tooth decay)","State Oral Health Survey","%","Percentage","66.0",,,"61.4","70.6",,,"1285","63",,,"No","68",,,,"NC","Not Collected","66",,,"Oklahoma","40","
,  
(35.47203135600046, -97.52107021399968)","3GRADE","05","CHD1_1"
"Yes","2016","2018","OR","Child","First Grade","Untreated Tooth Decay: Percentage of students with untreated tooth decay","State Oral Health Survey","%","Percentage","17.7",,,"15.6","19.9",,,"2555","84",,,"Yes","57",,,"57",,,"52",,,"Oregon","41","
,  
(44.56744942400047, -120.15503132599969)","1GRADE","03","CHD1_3"
"Yes","2016","2018","OR","Child","First Grade","Dental Sealants: Percentage of students with dental sealants on at least one permanent molar tooth","State Oral Health Survey","%","Percentage","25.4",,,"22.0","28.8",,,"2555","84",,,"Yes","57",,,"57",,,"52",,,"Oregon","41","
,  
(44.56744942400047, -120.15503132599969)","1GRADE","03","CHD1_2"
"Yes","2016","2018","OR","Child","First Grade","Caries Experience: Percentage of students with caries experience (treated or untreated tooth decay)","State Oral Health Survey","%","Percentage","44.8",,,"41.2","48.3",,,"2555","84",,,"Yes","57",,,"57",,,"52",,,"Oregon","41","
,  
(44.56744942400047, -120.15503132599969)","1GRADE","03","CHD1_1"
"Yes","2016","2018","OR","Child","Second Grade","Caries Experience: Percentage of students with caries experience (treated or untreated tooth decay)","State Oral Health Survey","%","Percentage","48.9",,,"44.9","52.8",,,"2719","84",,,"Yes","57",,,"57",,,"52",,,"Oregon","41","
,  
(44.56744942400047, -120.15503132599969)","2GRADE","04","CHD1_1"
"Yes","2016","2018","OR","Child","Second Grade","Dental Sealants: Percentage of students with dental sealants on at least one permanent molar tooth","State Oral Health Survey","%","Percentage","43.1",,,"39.7","46.6",,,"2719","84",,,"Yes","57",,,"57",,,"52",,,"Oregon","41","
,  
(44.56744942400047, -120.15503132599969)","2GRADE","04","CHD1_2"
"Yes","2016","2018","OR","Child","Second Grade","Untreated Tooth Decay: Percentage of students with untreated tooth decay","State Oral Health Survey","%","Percentage","19.4",,,"16.6","22.1",,,"2719","84",,,"Yes","57",,,"57",,,"52",,,"Oregon","41","
,  
(44.56744942400047, -120.15503132599969)","2GRADE","04","CHD1_3"
"Yes","2016","2018","OR","Child","Third Grade","Untreated Tooth Decay: Percentage of students with untreated tooth decay","State Oral Health Survey","%","Percentage","20.4",,,"17.8","23.1",,,"2734","84",,,"Yes","57",,,"57",,,"52",,,"Oregon","41","
,  
(44.56744942400047, -120.15503132599969)","3GRADE","05","CHD1_3"
"Yes","2016","2018","OR","Child","Third Grade","Caries Experience: Percentage of students with caries experience (treated or untreated tooth decay)","State Oral Health Survey","%","Percentage","52.8",,,"49.0","56.5",,,"2734","84",,,"Yes","57",,,"57",,,"52",,,"Oregon","41","
,  
(44.56744942400047, -120.15503132599969)","3GRADE","05","CHD1_1"
"Yes","2016","2018","OR","Child","Third Grade","Dental Sealants: Percentage of students with dental sealants on at least one permanent molar tooth","State Oral Health Survey","%","Percentage","53.4",,,"49.7","57.0",,,"2734","84",,,"Yes","57",,,"57",,,"52",,,"Oregon","41","
,  
(44.56744942400047, -120.15503132599969)","3GRADE","05","CHD1_2"
"Yes","1998","1999","PA","Child","First Grade","Caries Experience: Percentage of students with caries experience (treated or untreated tooth decay)","State Oral Health Survey","%","Percentage","46.3",,,"42.7","49.9",,,"1808",,"NR","Not Reported","Yes",,"NR","Not Reported",,"NC","Not Collected",,"NR","Not Reported","Pennsylvania","42","
,  
(40.79373015200048, -77.86070029399963)","1GRADE","03","CHD1_1"
"Yes","1998","1999","PA","Child","First Grade","Dental Sealants: Percentage of students with dental sealants on at least one permanent molar tooth","State Oral Health Survey","%","Percentage","8.7",,,"6.8","10.6",,,"1808",,"NR","Not Reported","Yes",,"NR","Not Reported",,"NC","Not Collected",,"NR","Not Reported","Pennsylvania","42","
,  
(40.79373015200048, -77.86070029399963)","1GRADE","03","CHD1_2"
"Yes","1998","1999","PA","Child","First Grade","Untreated Tooth Decay: Percentage of students with untreated tooth decay","State Oral Health Survey","%","Percentage","27.5",,,"24.3","30.7",,,"1808",,"NR","Not Reported","Yes",,"NR","Not Reported",,"NC","Not Collected",,"NR","Not Reported","Pennsylvania","42","
,  
(40.79373015200048, -77.86070029399963)","1GRADE","03","CHD1_3"
"Yes","1998","1999","PA","Child","Third Grade","Caries Experience: Percentage of students with caries experience (treated or untreated tooth decay)","State Oral Health Survey","%","Percentage","52.6",,,"49.2","55.9",,,"1767",,"NR","Not Reported","Yes",,"NR","Not Reported",,"NC","Not Collected",,"NR","Not Reported","Pennsylvania","42","
,  
(40.79373015200048, -77.86070029399963)","3GRADE","05","CHD1_1"
"Yes","1998","1999","PA","Child","Third Grade","Untreated Tooth Decay: Percentage of students with untreated tooth decay","State Oral Health Survey","%","Percentage","27.3",,,"23.9","30.6",,,"1767",,"NR","Not Reported","Yes",,"NR","Not Reported",,"NC","Not Collected",,"NR","Not Reported","Pennsylvania","42","
,  
(40.79373015200048, -77.86070029399963)","3GRADE","05","CHD1_3"
"Yes","1998","1999","PA","Child","Third Grade","Dental Sealants: Percentage of students with dental sealants on at least one permanent molar tooth","State Oral Health Survey","%","Percentage","26.1",,,"23.1","29.1",,,"1767",,"NR","Not Reported","Yes",,"NR","Not Reported",,"NC","Not Collected",,"NR","Not Reported","Pennsylvania","42","
,  
(40.79373015200048, -77.86070029399963)","3GRADE","05","CHD1_2"
"Yes","2016","2017","RI","Child","Head Start","Caries Experience: Percentage of students with caries experience (treated or untreated tooth decay)","State Oral Health Survey","%","Percentage","26.5",,,"23.7","29.2",,,"1185","52",,,"Yes",,"NA","Not Applicable",,"NA","Not Applicable",,"NA","Not Applicable","Rhode Island","44","
,  
(41.70828019300046, -71.52247031399963)","HGRADE","01","CHD1_1"
"Yes","2016","2017","RI","Child","Head Start","Untreated Tooth Decay: Percentage of students with untreated tooth decay","State Oral Health Survey","%","Percentage","21.3",,,"18.7","23.9",,,"1185","52",,,"Yes",,"NA","Not Applicable",,"NA","Not Applicable",,"NA","Not Applicable","Rhode Island","44","
,  
(41.70828019300046, -71.52247031399963)","HGRADE","01","CHD1_3"
"Yes","2013","2014","RI","Child","Third Grade","Untreated Tooth Decay: Percentage of students with untreated tooth decay","State Oral Health Survey","%","Percentage","25.3",,,"21.7","28.9",,,"2529","59",,,"Yes","60",,,,"NC","Not Collected","50",,,"Rhode Island","44","
,  
(41.70828019300046, -71.52247031399963)","3GRADE","05","CHD1_3"
"Yes","2013","2014","RI","Child","Third Grade","Caries Experience: Percentage of students with caries experience (treated or untreated tooth decay)","State Oral Health Survey","%","Percentage","48.6",,,"44.9","52.2",,,"2529","59",,,"Yes","60",,,,"NC","Not Collected","50",,,"Rhode Island","44","
,  
(41.70828019300046, -71.52247031399963)","3GRADE","05","CHD1_1"
"Yes","2013","2014","RI","Child","Third Grade","Dental Sealants: Percentage of students with dental sealants on at least one permanent molar tooth","State Oral Health Survey","%","Percentage","36.8",,,"32.0","41.6",,,"2529","59",,,"Yes","60",,,,"NC","Not Collected","50",,,"Rhode Island","44","
,  
(41.70828019300046, -71.52247031399963)","3GRADE","05","CHD1_2"
"Yes","2017","2018","SC","Child","Kindergarten","Untreated Tooth Decay: Percentage of students with untreated tooth decay","State Oral Health Survey","%","Percentage","15.5",,,"13.6","17.4",,,"5717","71",,,"Yes","64",,,,"NC","Not Collected","52",,,"South Carolina","45","
,  
(33.998821303000454, -81.04537120699968)","KGRADE","02","CHD1_3"
"Yes","2017","2018","SC","Child","Kindergarten","Caries Experience: Percentage of students with caries experience (treated or untreated tooth decay)","State Oral Health Survey","%","Percentage","37.3",,,"35.4","39.2",,,"5717","71",,,"Yes","64",,,,"NC","Not Collected","52",,,"South Carolina","45","
,  
(33.998821303000454, -81.04537120699968)","KGRADE","02","CHD1_1"
"Yes","2017","2018","SC","Child","Third Grade","Dental Sealants: Percentage of students with dental sealants on at least one permanent molar tooth","State Oral Health Survey","%","Percentage","24.9",,,"23.0","26.8",,,"6691","73",,,"Yes","64",,,,"NC","Not Collected","52",,,"South Carolina","45","
,  
(33.998821303000454, -81.04537120699968)","3GRADE","05","CHD1_2"
"Yes","2017","2018","SC","Child","Third Grade","Caries Experience: Percentage of students with caries experience (treated or untreated tooth decay)","State Oral Health Survey","%","Percentage","48.2",,,"46.3","50.1",,,"6691","73",,,"Yes","64",,,,"NC","Not Collected","52",,,"South Carolina","45","
,  
(33.998821303000454, -81.04537120699968)","3GRADE","05","CHD1_1"
"Yes","2017","2018","SC","Child","Third Grade","Untreated Tooth Decay: Percentage of students with untreated tooth decay","State Oral Health Survey","%","Percentage","17.4",,,"15.5","19.3",,,"6691","73",,,"Yes","64",,,,"NC","Not Collected","52",,,"South Carolina","45","
,  
(33.998821303000454, -81.04537120699968)","3GRADE","05","CHD1_3"
"Yes","2013","2014","SD","Child","Third Grade","Untreated Tooth Decay: Percentage of students with untreated tooth decay","State Oral Health Survey","%","Percentage","21.5",,,"16.3","26.8",,,"1053","47",,,"Yes","42",,,,"NC","Not Collected","44",,,"South Dakota","46","
,  
(44.353130053000484, -100.3735306369997)","3GRADE","05","CHD1_3"
"Yes","2013","2014","SD","Child","Third Grade","Caries Experience: Percentage of students with caries experience (treated or untreated tooth decay)","State Oral Health Survey","%","Percentage","55.9",,,"49.5","62.4",,,"1053","47",,,"Yes","42",,,,"NC","Not Collected","44",,,"South Dakota","46","
,  
(44.353130053000484, -100.3735306369997)","3GRADE","05","CHD1_1"
"Yes","2013","2014","SD","Child","Third Grade","Dental Sealants: Percentage of students with dental sealants on at least one permanent molar tooth","State Oral Health Survey","%","Percentage","56.6",,,"50.6","62.5",,,"1053","47",,,"Yes","42",,,,"NC","Not Collected","44",,,"South Dakota","46","
,  
(44.353130053000484, -100.3735306369997)","3GRADE","05","CHD1_2"
"Yes","2013","2014","TX","Child","Head Start","Untreated Tooth Decay: Percentage of students with untreated tooth decay","State Oral Health Survey","%","Percentage","20.4",,,"17.2","23.6",,,"3143","46",,,"Yes",,"NA","Not Applicable",,"NA","Not Applicable",,"NA","Not Applicable","Texas","48","
,  
(31.827240407000488, -99.42677020599967)","HGRADE","01","CHD1_3"
"Yes","2013","2014","TX","Child","Head Start","Caries Experience: Percentage of students with caries experience (treated or untreated tooth decay)","State Oral Health Survey","%","Percentage","42.9",,,"37.5","48.4",,,"3143","46",,,"Yes",,"NA","Not Applicable",,"NA","Not Applicable",,"NA","Not Applicable","Texas","48","
,  
(31.827240407000488, -99.42677020599967)","HGRADE","01","CHD1_1"
"Yes","2019","2020","TX","Child","Kindergarten","Caries Experience: Percentage of students with caries experience (treated or untreated tooth decay)","State Oral Health Survey","%","Percentage","52.9",,,"48.4","57.5",,,"4723","35",,,"Yes","63",,,"73",,,"62",,,"Texas","48","
,  
(31.827240407000488, -99.42677020599967)","KGRADE","02","CHD1_1"
"Yes","2019","2020","TX","Child","Kindergarten","Untreated Tooth Decay: Percentage of students with untreated tooth decay","State Oral Health Survey","%","Percentage","19.7",,,"16.9","22.5",,,"4723","35",,,"Yes","63",,,"73",,,"62",,,"Texas","48","
,  
(31.827240407000488, -99.42677020599967)","KGRADE","02","CHD1_3"
"Yes","2017","2018","TX","Child","Third Grade","Dental Sealants: Percentage of students with dental sealants on at least one permanent molar tooth","State Oral Health Survey","%","Percentage","41.4",,,"35.9","47.0",,,"4630","33",,,"Yes","63",,,"68",,,"62",,,"Texas","48","
,  
(31.827240407000488, -99.42677020599967)","3GRADE","05","CHD1_2"
"Yes","2017","2018","TX","Child","Third Grade","Untreated Tooth Decay: Percentage of students with untreated tooth decay","State Oral Health Survey","%","Percentage","17.5",,,"15.4","19.7",,,"4630","33",,,"Yes","63",,,"68",,,"62",,,"Texas","48","
,  
(31.827240407000488, -99.42677020599967)","3GRADE","05","CHD1_3"
"Yes","2017","2018","TX","Child","Third Grade","Caries Experience: Percentage of students with caries experience (treated or untreated tooth decay)","State Oral Health Survey","%","Percentage","67.1",,,"62.4","71.9",,,"4630","33",,,"Yes","63",,,"68",,,"62",,,"Texas","48","
,  
(31.827240407000488, -99.42677020599967)","3GRADE","05","CHD1_1"
"Yes","2015","2016","UT","Child","First Grade","Untreated Tooth Decay: Percentage of students with untreated tooth decay","State Oral Health Survey","%","Percentage","10.9",,,"7.5","14.4",,,"557","40",,,"Yes","34",,,"33",,,"32",,,"Utah","49","
,  
(39.360700171000474, -111.58713063499971)","1GRADE","03","CHD1_3"
"Yes","2015","2016","UT","Child","First Grade","Dental Sealants: Percentage of students with dental sealants on at least one permanent molar tooth","State Oral Health Survey","%","Percentage","22.0",,,"14.1","29.8",,,"557","40",,,"Yes","34",,,"33",,,"32",,,"Utah","49","
,  
(39.360700171000474, -111.58713063499971)","1GRADE","03","CHD1_2"
"Yes","2015","2016","UT","Child","First Grade","Caries Experience: Percentage of students with caries experience (treated or untreated tooth decay)","State Oral Health Survey","%","Percentage","58.1",,,"51.0","65.3",,,"557","40",,,"Yes","34",,,"33",,,"32",,,"Utah","49","
,  
(39.360700171000474, -111.58713063499971)","1GRADE","03","CHD1_1"
"Yes","2015","2016","UT","Child","Second Grade","Untreated Tooth Decay: Percentage of students with untreated tooth decay","State Oral Health Survey","%","Percentage","24.6",,,"16.3","33.0",,,"554","40",,,"Yes","34",,,"32",,,"32",,,"Utah","49","
,  
(39.360700171000474, -111.58713063499971)","2GRADE","04","CHD1_3"
"Yes","2015","2016","UT","Child","Second Grade","Dental Sealants: Percentage of students with dental sealants on at least one permanent molar tooth","State Oral Health Survey","%","Percentage","40.3",,,"31.7","49.0",,,"554","40",,,"Yes","34",,,"32",,,"32",,,"Utah","49","
,  
(39.360700171000474, -111.58713063499971)","2GRADE","04","CHD1_2"
"Yes","2015","2016","UT","Child","Second Grade","Caries Experience: Percentage of students with caries experience (treated or untreated tooth decay)","State Oral Health Survey","%","Percentage","61.1",,,"53.7","68.5",,,"554","40",,,"Yes","34",,,"32",,,"32",,,"Utah","49","
,  
(39.360700171000474, -111.58713063499971)","2GRADE","04","CHD1_1"
"Yes","2015","2016","UT","Child","Third Grade","Untreated Tooth Decay: Percentage of students with untreated tooth decay","State Oral Health Survey","%","Percentage","21.0",,,"13.5","28.5",,,"472","40",,,"Yes","34",,,"35",,,"32",,,"Utah","49","
,  
(39.360700171000474, -111.58713063499971)","3GRADE","05","CHD1_3"
"Yes","2015","2016","UT","Child","Third Grade","Dental Sealants: Percentage of students with dental sealants on at least one permanent molar tooth","State Oral Health Survey","%","Percentage","67.9",,,"60.4","75.4",,,"472","40",,,"Yes","34",,,"35",,,"32",,,"Utah","49","
,  
(39.360700171000474, -111.58713063499971)","3GRADE","05","CHD1_2"
"Yes","2015","2016","UT","Child","Third Grade","Caries Experience: Percentage of students with caries experience (treated or untreated tooth decay)","State Oral Health Survey","%","Percentage","74.6",,,"67.3","81.9",,,"472","40",,,"Yes","34",,,"35",,,"32",,,"Utah","49","
,  
(39.360700171000474, -111.58713063499971)","3GRADE","05","CHD1_1"
